id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kematian,jenis_kelamin,jumlah_kematian,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,ANAK BALITA,LAKI-LAKI,2,JIWA,2012
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,ANAK BALITA,PEREMPUAN,12,JIWA,2012
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAYI,LAKI-LAKI,67,JIWA,2012
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAYI,PEREMPUAN,129,JIWA,2012
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ANAK BALITA,LAKI-LAKI,15,JIWA,2012
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ANAK BALITA,PEREMPUAN,18,JIWA,2012
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAYI,LAKI-LAKI,276,JIWA,2012
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAYI,PEREMPUAN,215,JIWA,2012
9,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ANAK BALITA,LAKI-LAKI,19,JIWA,2012
10,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ANAK BALITA,PEREMPUAN,19,JIWA,2012
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAYI,LAKI-LAKI,244,JIWA,2012
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAYI,PEREMPUAN,162,JIWA,2012
13,32,JAWA BARAT,3209,KABUPATEN CIREBON,ANAK BALITA,LAKI-LAKI,4,JIWA,2012
14,32,JAWA BARAT,3209,KABUPATEN CIREBON,ANAK BALITA,PEREMPUAN,5,JIWA,2012
15,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ANAK BALITA,LAKI-LAKI,12,JIWA,2012
16,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ANAK BALITA,PEREMPUAN,10,JIWA,2012
17,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BAYI,LAKI-LAKI,130,JIWA,2012
18,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BAYI,PEREMPUAN,169,JIWA,2012
19,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ANAK BALITA,LAKI-LAKI,8,JIWA,2012
20,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ANAK BALITA,PEREMPUAN,8,JIWA,2012
21,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BAYI,LAKI-LAKI,209,JIWA,2012
22,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BAYI,PEREMPUAN,141,JIWA,2012
23,32,JAWA BARAT,3213,KABUPATEN SUBANG,ANAK BALITA,LAKI-LAKI,3,JIWA,2012
24,32,JAWA BARAT,3213,KABUPATEN SUBANG,ANAK BALITA,PEREMPUAN,5,JIWA,2012
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,BAYI,LAKI-LAKI,68,JIWA,2012
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,BAYI,PEREMPUAN,44,JIWA,2012
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ANAK BALITA,LAKI-LAKI,6,JIWA,2012
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ANAK BALITA,PEREMPUAN,6,JIWA,2012
29,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BAYI,LAKI-LAKI,79,JIWA,2012
30,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BAYI,PEREMPUAN,63,JIWA,2012
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,ANAK BALITA,LAKI-LAKI,8,JIWA,2012
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,ANAK BALITA,PEREMPUAN,4,JIWA,2012
33,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAYI,LAKI-LAKI,70,JIWA,2012
34,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAYI,PEREMPUAN,68,JIWA,2012
35,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,ANAK BALITA,LAKI-LAKI,2,JIWA,2012
36,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,ANAK BALITA,PEREMPUAN,1,JIWA,2012
37,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BAYI,LAKI-LAKI,17,JIWA,2012
38,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BAYI,PEREMPUAN,17,JIWA,2012
39,32,JAWA BARAT,3274,KOTA CIREBON,ANAK BALITA,LAKI-LAKI,5,JIWA,2012
40,32,JAWA BARAT,3274,KOTA CIREBON,ANAK BALITA,PEREMPUAN,5,JIWA,2012
41,32,JAWA BARAT,3274,KOTA CIREBON,BAYI,LAKI-LAKI,32,JIWA,2012
42,32,JAWA BARAT,3274,KOTA CIREBON,BAYI,PEREMPUAN,19,JIWA,2012
43,32,JAWA BARAT,3277,KOTA CIMAHI,ANAK BALITA,LAKI-LAKI,0,JIWA,2012
44,32,JAWA BARAT,3277,KOTA CIMAHI,ANAK BALITA,PEREMPUAN,0,JIWA,2012
45,32,JAWA BARAT,3277,KOTA CIMAHI,BAYI,LAKI-LAKI,39,JIWA,2012
46,32,JAWA BARAT,3277,KOTA CIMAHI,BAYI,PEREMPUAN,41,JIWA,2012
47,32,JAWA BARAT,3279,KOTA BANJAR,ANAK BALITA,LAKI-LAKI,7,JIWA,2012
48,32,JAWA BARAT,3279,KOTA BANJAR,ANAK BALITA,PEREMPUAN,3,JIWA,2012
49,32,JAWA BARAT,3279,KOTA BANJAR,BAYI,LAKI-LAKI,35,JIWA,2012
50,32,JAWA BARAT,3279,KOTA BANJAR,BAYI,PEREMPUAN,15,JIWA,2012
51,32,JAWA BARAT,3201,KABUPATEN BOGOR,ANAK BALITA,LAKI-LAKI,4,JIWA,2013
52,32,JAWA BARAT,3201,KABUPATEN BOGOR,ANAK BALITA,PEREMPUAN,4,JIWA,2013
53,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAYI,LAKI-LAKI,92,JIWA,2013
54,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAYI,PEREMPUAN,74,JIWA,2013
55,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ANAK BALITA,LAKI-LAKI,19,JIWA,2013
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ANAK BALITA,PEREMPUAN,20,JIWA,2013
57,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAYI,LAKI-LAKI,284,JIWA,2013
58,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAYI,PEREMPUAN,220,JIWA,2013
59,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ANAK BALITA,LAKI-LAKI,7,JIWA,2013
60,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ANAK BALITA,PEREMPUAN,10,JIWA,2013
61,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BAYI,LAKI-LAKI,130,JIWA,2013
62,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BAYI,PEREMPUAN,117,JIWA,2013
63,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ANAK BALITA,LAKI-LAKI,6,JIWA,2013
64,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ANAK BALITA,PEREMPUAN,12,JIWA,2013
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BAYI,LAKI-LAKI,123,JIWA,2013
66,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BAYI,PEREMPUAN,82,JIWA,2013
67,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ANAK BALITA,LAKI-LAKI,7,JIWA,2013
68,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ANAK BALITA,PEREMPUAN,2,JIWA,2013
69,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BAYI,LAKI-LAKI,208,JIWA,2013
70,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BAYI,PEREMPUAN,147,JIWA,2013
71,32,JAWA BARAT,3213,KABUPATEN SUBANG,ANAK BALITA,LAKI-LAKI,1,JIWA,2013
72,32,JAWA BARAT,3213,KABUPATEN SUBANG,ANAK BALITA,PEREMPUAN,2,JIWA,2013
73,32,JAWA BARAT,3213,KABUPATEN SUBANG,BAYI,LAKI-LAKI,53,JIWA,2013
74,32,JAWA BARAT,3213,KABUPATEN SUBANG,BAYI,PEREMPUAN,65,JIWA,2013
75,32,JAWA BARAT,3216,KABUPATEN BEKASI,ANAK BALITA,LAKI-LAKI,7,JIWA,2013
76,32,JAWA BARAT,3216,KABUPATEN BEKASI,ANAK BALITA,PEREMPUAN,11,JIWA,2013
77,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAYI,LAKI-LAKI,80,JIWA,2013
78,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAYI,PEREMPUAN,69,JIWA,2013
79,32,JAWA BARAT,3271,KOTA BOGOR,ANAK BALITA,LAKI-LAKI,0,JIWA,2013
80,32,JAWA BARAT,3271,KOTA BOGOR,ANAK BALITA,PEREMPUAN,0,JIWA,2013
81,32,JAWA BARAT,3271,KOTA BOGOR,BAYI,LAKI-LAKI,28,JIWA,2013
82,32,JAWA BARAT,3271,KOTA BOGOR,BAYI,PEREMPUAN,34,JIWA,2013
83,32,JAWA BARAT,3272,KOTA SUKABUMI,ANAK BALITA,LAKI-LAKI,4,JIWA,2013
84,32,JAWA BARAT,3272,KOTA SUKABUMI,ANAK BALITA,PEREMPUAN,0,JIWA,2013
