nama_kabupaten_kota,jenis_kematian,jumlah_kematian
KABUPATEN BOGOR,ANAK BALITA,0
KABUPATEN BOGOR,ANAK BALITA,1
KABUPATEN BOGOR,BAYI,59
KABUPATEN BOGOR,BAYI,50
KABUPATEN BOGOR,NEONATAL,51
KABUPATEN BOGOR,NEONATAL,43
KABUPATEN SUKABUMI,ANAK BALITA,0
KABUPATEN SUKABUMI,ANAK BALITA,0
KABUPATEN SUKABUMI,BAYI,0
KABUPATEN SUKABUMI,BAYI,0
KABUPATEN SUKABUMI,NEONATAL,0
KABUPATEN SUKABUMI,NEONATAL,0
KABUPATEN CIANJUR,ANAK BALITA,3
KABUPATEN CIANJUR,ANAK BALITA,0
KABUPATEN CIANJUR,BAYI,37
KABUPATEN CIANJUR,BAYI,42
KABUPATEN CIANJUR,NEONATAL,32
KABUPATEN CIANJUR,NEONATAL,38
KABUPATEN BANDUNG,ANAK BALITA,1
KABUPATEN BANDUNG,ANAK BALITA,3
KABUPATEN BANDUNG,BAYI,112
KABUPATEN BANDUNG,BAYI,92
KABUPATEN BANDUNG,NEONATAL,102
KABUPATEN BANDUNG,NEONATAL,87
KABUPATEN GARUT,ANAK BALITA,1
KABUPATEN GARUT,ANAK BALITA,1
KABUPATEN GARUT,BAYI,137
KABUPATEN GARUT,BAYI,134
KABUPATEN GARUT,NEONATAL,129
KABUPATEN GARUT,NEONATAL,126
KABUPATEN TASIKMALAYA,ANAK BALITA,6
KABUPATEN TASIKMALAYA,ANAK BALITA,10
KABUPATEN TASIKMALAYA,BAYI,158
KABUPATEN TASIKMALAYA,BAYI,102
KABUPATEN TASIKMALAYA,NEONATAL,138
KABUPATEN TASIKMALAYA,NEONATAL,66
KABUPATEN CIAMIS,ANAK BALITA,6
KABUPATEN CIAMIS,ANAK BALITA,7
KABUPATEN CIAMIS,BAYI,61
KABUPATEN CIAMIS,BAYI,48
KABUPATEN CIAMIS,NEONATAL,50
KABUPATEN CIAMIS,NEONATAL,31
KABUPATEN KUNINGAN,ANAK BALITA,1
KABUPATEN KUNINGAN,ANAK BALITA,2
KABUPATEN KUNINGAN,BAYI,41
KABUPATEN KUNINGAN,BAYI,37
KABUPATEN KUNINGAN,NEONATAL,37
KABUPATEN KUNINGAN,NEONATAL,30
KABUPATEN CIREBON,ANAK BALITA,4
KABUPATEN CIREBON,ANAK BALITA,6
KABUPATEN CIREBON,BAYI,78
KABUPATEN CIREBON,BAYI,64
KABUPATEN CIREBON,NEONATAL,74
KABUPATEN CIREBON,NEONATAL,60
KABUPATEN MAJALENGKA,ANAK BALITA,3
KABUPATEN MAJALENGKA,ANAK BALITA,1
KABUPATEN MAJALENGKA,BAYI,40
KABUPATEN MAJALENGKA,BAYI,43
KABUPATEN MAJALENGKA,NEONATAL,34
KABUPATEN MAJALENGKA,NEONATAL,34
KABUPATEN SUMEDANG,ANAK BALITA,10
KABUPATEN SUMEDANG,ANAK BALITA,7
KABUPATEN SUMEDANG,BAYI,97
KABUPATEN SUMEDANG,BAYI,73
KABUPATEN SUMEDANG,NEONATAL,68
KABUPATEN SUMEDANG,NEONATAL,45
KABUPATEN INDRAMAYU,ANAK BALITA,6
KABUPATEN INDRAMAYU,ANAK BALITA,7
KABUPATEN INDRAMAYU,BAYI,167
KABUPATEN INDRAMAYU,BAYI,75
KABUPATEN INDRAMAYU,NEONATAL,150
KABUPATEN INDRAMAYU,NEONATAL,69
KABUPATEN SUBANG,ANAK BALITA,1
KABUPATEN SUBANG,ANAK BALITA,1
KABUPATEN SUBANG,BAYI,56
KABUPATEN SUBANG,BAYI,58
KABUPATEN SUBANG,NEONATAL,51
KABUPATEN SUBANG,NEONATAL,53
KABUPATEN PURWAKARTA,ANAK BALITA,2
KABUPATEN PURWAKARTA,ANAK BALITA,1
KABUPATEN PURWAKARTA,BAYI,40
KABUPATEN PURWAKARTA,BAYI,17
KABUPATEN PURWAKARTA,NEONATAL,34
KABUPATEN PURWAKARTA,NEONATAL,13
KABUPATEN KARAWANG,ANAK BALITA,1
KABUPATEN KARAWANG,ANAK BALITA,8
KABUPATEN KARAWANG,BAYI,95
KABUPATEN KARAWANG,BAYI,67
KABUPATEN KARAWANG,NEONATAL,83
KABUPATEN KARAWANG,NEONATAL,57
KABUPATEN BEKASI,ANAK BALITA,0
KABUPATEN BEKASI,ANAK BALITA,2
KABUPATEN BEKASI,BAYI,28
KABUPATEN BEKASI,BAYI,13
KABUPATEN BEKASI,NEONATAL,28
KABUPATEN BEKASI,NEONATAL,13
KABUPATEN BANDUNG BARAT,ANAK BALITA,3
KABUPATEN BANDUNG BARAT,ANAK BALITA,1
KABUPATEN BANDUNG BARAT,BAYI,94
KABUPATEN BANDUNG BARAT,BAYI,50
KABUPATEN BANDUNG BARAT,NEONATAL,89
KABUPATEN BANDUNG BARAT,NEONATAL,48
KABUPATEN PANGANDARAN,ANAK BALITA,6
KABUPATEN PANGANDARAN,ANAK BALITA,1
KABUPATEN PANGANDARAN,BAYI,15
KABUPATEN PANGANDARAN,BAYI,18
KABUPATEN PANGANDARAN,NEONATAL,15
KABUPATEN PANGANDARAN,NEONATAL,11
KOTA BOGOR,ANAK BALITA,4
KOTA BOGOR,ANAK BALITA,4
KOTA BOGOR,BAYI,30
KOTA BOGOR,BAYI,29
KOTA BOGOR,NEONATAL,24
KOTA BOGOR,NEONATAL,24
KOTA SUKABUMI,ANAK BALITA,2
KOTA SUKABUMI,ANAK BALITA,2
KOTA SUKABUMI,BAYI,17
KOTA SUKABUMI,BAYI,18
KOTA SUKABUMI,NEONATAL,14
KOTA SUKABUMI,NEONATAL,13
KOTA BANDUNG,ANAK BALITA,0
KOTA BANDUNG,ANAK BALITA,0
KOTA BANDUNG,BAYI,69
KOTA BANDUNG,BAYI,44
KOTA BANDUNG,NEONATAL,50
KOTA BANDUNG,NEONATAL,28
KOTA CIREBON,ANAK BALITA,2
KOTA CIREBON,ANAK BALITA,0
KOTA CIREBON,BAYI,12
KOTA CIREBON,BAYI,11
KOTA CIREBON,NEONATAL,11
KOTA CIREBON,NEONATAL,6
KOTA BEKASI,ANAK BALITA,1
KOTA BEKASI,ANAK BALITA,0
KOTA BEKASI,BAYI,22
KOTA BEKASI,BAYI,31
KOTA BEKASI,NEONATAL,20
KOTA BEKASI,NEONATAL,28
KOTA DEPOK,ANAK BALITA,4
KOTA DEPOK,BAYI,53
KOTA DEPOK,BAYI,14
KOTA DEPOK,NEONATAL,41
KOTA DEPOK,NEONATAL,9
KOTA CIMAHI,ANAK BALITA,0
KOTA CIMAHI,ANAK BALITA,2
KOTA CIMAHI,BAYI,25
KOTA CIMAHI,BAYI,25
KOTA CIMAHI,NEONATAL,17
KOTA CIMAHI,NEONATAL,19
KOTA TASIKMALAYA,ANAK BALITA,3
KOTA TASIKMALAYA,ANAK BALITA,5
KOTA TASIKMALAYA,BAYI,50
KOTA TASIKMALAYA,BAYI,30
KOTA TASIKMALAYA,NEONATAL,33
KOTA TASIKMALAYA,NEONATAL,25
KOTA BANJAR,ANAK BALITA,0
KOTA BANJAR,ANAK BALITA,0
KOTA BANJAR,BAYI,0
KOTA BANJAR,BAYI,0
KOTA BANJAR,NEONATAL,0
KOTA BANJAR,NEONATAL,0
