,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
1,Abbotsford,85 Turner St,2,h,1480000,S,Biggin,3/12/2016,2.5,3067,2,1,1,202,,,Yarra,-37.7996,144.9984,Northern Metropolitan,4019
2,Abbotsford,25 Bloomburg St,2,h,1035000,S,Biggin,4/02/2016,2.5,3067,2,1,0,156,79,1900,Yarra,-37.8079,144.9934,Northern Metropolitan,4019
4,Abbotsford,5 Charles St,3,h,1465000,SP,Biggin,4/03/2017,2.5,3067,3,2,0,134,150,1900,Yarra,-37.8093,144.9944,Northern Metropolitan,4019
5,Abbotsford,40 Federation La,3,h,850000,PI,Biggin,4/03/2017,2.5,3067,3,2,1,94,,,Yarra,-37.7969,144.9969,Northern Metropolitan,4019
6,Abbotsford,55a Park St,4,h,1600000,VB,Nelson,4/06/2016,2.5,3067,3,1,2,120,142,2014,Yarra,-37.8072,144.9941,Northern Metropolitan,4019
10,Abbotsford,129 Charles St,2,h,941000,S,Jellis,7/05/2016,2.5,3067,2,1,0,181,,,Yarra,-37.8041,144.9953,Northern Metropolitan,4019
11,Abbotsford,124 Yarra St,3,h,1876000,S,Nelson,7/05/2016,2.5,3067,4,2,0,245,210,1910,Yarra,-37.8024,144.9993,Northern Metropolitan,4019
14,Abbotsford,98 Charles St,2,h,1636000,S,Nelson,8/10/2016,2.5,3067,2,1,2,256,107,1890,Yarra,-37.806,144.9954,Northern Metropolitan,4019
15,Abbotsford,217 Langridge St,3,h,1000000,S,Jellis,8/10/2016,2.5,3067,,,,,,,,,,Northern Metropolitan,4019
16,Abbotsford,18a Mollison St,2,t,745000,S,Jellis,8/10/2016,2.5,3067,,,,,,,,,,Northern Metropolitan,4019
17,Abbotsford,6/241 Nicholson St,1,u,300000,S,Biggin,8/10/2016,2.5,3067,1,1,1,0,,,Yarra,-37.8008,144.9973,Northern Metropolitan,4019
18,Abbotsford,10 Valiant St,2,h,1097000,S,Biggin,8/10/2016,2.5,3067,3,1,2,220,75,1900,Yarra,-37.801,144.9989,Northern Metropolitan,4019
19,Abbotsford,403/609 Victoria St,2,u,542000,S,Dingle,8/10/2016,2.5,3067,,,,,,,,,,Northern Metropolitan,4019
21,Abbotsford,25/84 Trenerry Cr,2,u,760000,SP,Biggin,10/12/2016,2.5,3067,,,,,,,,,,Northern Metropolitan,4019
22,Abbotsford,106/119 Turner St,1,u,481000,SP,Purplebricks,10/12/2016,2.5,3067,,,,,,,,,,Northern Metropolitan,4019
23,Abbotsford,411/8 Grosvenor St,2,u,700000,VB,Jellis,12/11/2016,2.5,3067,2,2,1,0,,,Yarra,-37.811,145.0067,Northern Metropolitan,4019
24,Abbotsford,40 Nicholson St,3,h,1350000,VB,Nelson,12/11/2016,2.5,3067,3,2,2,214,190,2005,Yarra,-37.8085,144.9964,Northern Metropolitan,4019
25,Abbotsford,123/56 Nicholson St,2,u,750000,S,Biggin,12/11/2016,2.5,3067,2,2,1,0,94,2009,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
26,Abbotsford,22 Park St,4,h,1985000,S,Biggin,12/11/2016,2.5,3067,,,,,,,,-37.8084,144.9942,Northern Metropolitan,4019
27,Abbotsford,13/84 Trenerry Cr,1,u,500000,S,Biggin,12/11/2016,2.5,3067,,,,,,,,,,Northern Metropolitan,4019
28,Abbotsford,45 William St,2,h,1172500,S,Biggin,13/08/2016,2.5,3067,2,1,1,195,,,Yarra,-37.8084,144.9973,Northern Metropolitan,4019
